width,length,type,region,model,height-min,height-max,stories,shape,library,tags
5.00,23.00,residential,,objects/houses/EU/GB/RES_5.00x23.00_UK_2.obj,,,,SQ,W2XP

4.50,13.00,residential,,objects/houses/EU/GB/RES_4.5x13.0_UK_1.obj,,,,SQ,W2XP
4.50,13.00,residential,,objects/houses/EU/GB/RES_4.5x13.0_UK_2.obj,,,,SQ,W2XP
4.50,14.00,residential,,objects/houses/EU/GB/RES_4.5x14.0_UK_1.obj,,,,SQ,W2XP
4.50,14.00,residential,,objects/houses/EU/GB/RES_4.5x14.0_UK_2.obj,,,,SQ,W2XP

7.0,6.0,residential,,objects/houses/EU/GB/RES_7.0x6.0_UK_1.obj,,,2,SQ,W2XP,Black
7.0,6.0,residential,,objects/houses/EU/GB/RES_7.0x6.0_UK_2.obj,,,2,SQ,W2XP,Black
7.0,6.0,residential,,objects/houses/EU/GB/RES_7.0x6.0_UK_3.obj,,,2,SQ,W2XP,Black
6.0,7.0,residential,,objects/houses/EU/GB/RES_6.0x7.0_UK_1.obj,,,2,SQ,W2XP,Black
6.0,7.0,residential,,objects/houses/EU/GB/RES_6.0x7.0_UK_2.obj,,,2,SQ,W2XP,Black
6.0,7.0,residential,,objects/houses/EU/GB/RES_6.0x7.0_UK_3.obj,,,2,SQ,W2XP,Black
5.0,7.75,residential,,objects/houses/EU/GB/RES_5.0x7.75_UK_2.obj,,,2,SQ,W2XP,Black
5.0,7.75,residential,,objects/houses/EU/GB/RES_5.0x7.75_UK_3.obj,,,2,SQ,W2XP,Black
5.0,7.75,residential,,objects/houses/EU/GB/RES_5.0x7.75_UK_4.obj,,,2,SQ,W2XP,Black
8.0,8.0,residential,,objects/houses/EU/GB/RES_8.0x8.0_UK_1.obj,,,2,SQ,W2XP,Black
8.0,8.0,residential,,objects/houses/EU/GB/RES_8.0x8.0_UK_2.obj,,,2,SQ,W2XP,Black
8.0,8.0,residential,,objects/houses/EU/GB/RES_8.0x8.0_UK_3.obj,,,2,SQ,W2XP,Black

6.0,13.0,residential,,objects/houses/EU/GB/RES_6.0x13.0_UK_1.obj,,,2,SQ,W2XP,Black
6.0,14.0,residential,,objects/houses/EU/GB/RES_6.0x14.0_UK_1.obj,,,2,SQ,W2XP,Black
6.0,15.0,residential,,objects/houses/EU/GB/RES_6.0x15.0_UK_1.obj,,,2,SQ,W2XP,Black

6.0,13.0,residential,,objects/houses/EU/GB/RES_6.0x13.0_UK_2.obj,,,2,SQ,W2XP,Black
6.0,14.0,residential,,objects/houses/EU/GB/RES_6.0x14.0_UK_2.obj,,,2,SQ,W2XP,Black
6.0,15.0,residential,,objects/houses/EU/GB/RES_6.0x15.0_UK_2.obj,,,2,SQ,W2XP,Black
8.0,6.0,residential,,objects/houses/EU/GB/RES_8.00x6.00_UK_1.obj,,,2,SQ,W2XP,Black
8.0,6.0,residential,,objects/houses/EU/GB/RES_8.00x6.00_UK_2.obj,,,2,SQ,W2XP,Black
8.0,6.0,residential,,objects/houses/EU/GB/RES_8.00x6.00_UK_3.obj,,,2,SQ,W2XP,Black
8.0,6.0,residential,,objects/houses/EU/GB/RES_8.00x6.00_UK_4.obj,,,2,SQ,W2XP,Black
8.0,5.0,residential,,objects/houses/EU/GB/RES_8.00x5.00_UK_1.obj,,,2,SQ,W2XP,Black
8.0,5.0,residential,,objects/houses/EU/GB/RES_8.00x5.00_UK_2.obj,,,2,SQ,W2XP,Black
8.0,5.0,residential,,objects/houses/EU/GB/RES_8.00x5.00_UK_3.obj,,,2,SQ,W2XP,Black


9.0,8.0,residential,,objects/houses/EU/GB/RES_9.00x8.00_UK_1.obj,,,2,SQ,W2XP,Black
11.0,9.0,residential,,objects/houses/EU/GB/RES_11.00x9.00_UK_1.obj,,,2,SQ,W2XP,Black
14.0,7.0,residential,,objects/houses/EU/GB/RES_14.00x7.00_UK_1.obj,,,2,SQ,W2XP,Black


7.55,7.88,residential,,objects/houses/EU/GB/R_7.55x7.88_UK_1.obj,,,,SQ,W2XP
7.55,7.88,residential,,objects/houses/EU/GB/R_7.55x7.88_UK_2.obj,,,,SQ,W2XP
7.65,10.4,residential,,objects/houses/EU/GB/R_7.65x10.4_UK_1.obj,,,,SQ,W2XP
17.00,12.00,residential,,objects/houses/EU/GB/RES_17.0x12.0_UK_1.obj,,,2,SQ,W2XP,Black
17.00,12.00,residential,,objects/houses/EU/GB/RES_17.0x12.0_UK_2.obj,,,2,SQ,W2XP,Black
12.34,9.50,residential,,objects/houses/EU/GB/RES_12.34x9.50_UK_1.obj,,,2,SQ,W2XP,Black
12.34,9.50,residential,,objects/houses/EU/GB/RES_12.34x9.50_UK_2.obj,,,2,SQ,W2XP,Black
13.5,12.5,residential,,objects/houses/EU/GB/RES_13.5x12.5_UK_1.obj,,,2,SQ,W2XP,Black
13.5,12.5,residential,,objects/houses/EU/GB/RES_13.5x12.5_UK_2.obj,,,2,SQ,W2XP,Black
12.0,11.0,residential,,objects/houses/EU/GB/RES_12.00x11.00_UK_1.obj,,,2,SQ,W2XP,Black
12.0,11.0,residential,,objects/houses/EU/GB/RES_12.00x11.00_UK_2.obj,,,2,SQ,W2XP,Black
17.0,13.6,residential,,objects/houses/EU/GB/RES_17.00x13.60_UK_1.obj,,,2,SQ,W2XP,Black
14.0,13.0,residential,,objects/houses/EU/GB/RES_14.00x13.00_UK_1.obj,,,2,SQ,W2XP,Black
18.0,11.2,residential,,objects/houses/EU/GB/RES_18.00x11.20_UK_1.obj,,,2,SQ,W2XP,Black
16.9,9.49,residential,,objects/houses/EU/GB/RES_16.9x9.49_UK_1.obj,,,2,SQ,W2XP,Black
16.9,9.49,residential,,objects/houses/EU/GB/RES_16.9x9.49_UK_2.obj,,,2,SQ,W2XP,Black
12.7,8.0,residential,,objects/houses/EU/GB/RES_12.7x8.00_UK_1.obj,,,2,SQ,W2XP,Black
12.7,8.0,residential,,objects/houses/EU/GB/RES_12.7x8.00_UK_2.obj,,,2,SQ,W2XP,Black
9.00,13.00,residential,,objects/houses/EU/GB/RES_09x13.00_UK_1.obj,,,2,SQ,W2XP,Black
8.00,13.00,residential,,objects/houses/EU/GB/RES_08x13.00_UK_1.obj,,,2,SQ,W2XP,Black
16.80,14.5,residential,,objects/houses/EU/GB/RES_16.8x14.5_UK_1.obj,,,2,SQ,W2XP,Black
9.00,12.00,residential,,objects/houses/EU/GB/RES_9.00x12.00_UK_1.obj,,,2,SQ,W2XP,Black
9.00,12.00,residential,,objects/houses/EU/GB/RES_9.00x12.00_UK_2.obj,,,2,SQ,W2XP,Black
9.00,10.00,residential,,objects/houses/EU/GB/RES_9.00x10.00_UK_1.obj,,,2,SQ,W2XP,Black
9.00,10.00,residential,,objects/houses/EU/GB/RES_9.00x10.00_UK_2.obj,,,2,SQ,W2XP,Black
10.00,13.00,residential,,objects/houses/EU/GB/RES_10.00x13.00_UK_1.obj,,,2,SQ,W2XP,Black
8.55,8.77,residential,,objects/houses/EU/GB/RES_8.55x8.77_UK_1.obj,,,2,SQ,W2XP,Black
8.55,8.77,residential,,objects/houses/EU/GB/RES_8.55x8.77_UK_2.obj,,,2,SQ,W2XP,Black
15.00,13.00,residential,,objects/houses/EU/GB/RES_15.00x13.00_UK_1.obj,,,2,SQ,W2XP,Black
15.00,13.00,residential,,objects/houses/EU/GB/RES_15.00x13.00_UK_2.obj,,,2,SQ,W2XP,Black
10.0,8.0,residential,,objects/houses/EU/GB/RES_10.00x8.00_UK_OLD_1.obj,,,2,SQ,W2XP,Black;Old
11.0,11.0,residential,,objects/houses/EU/GB/RES_11.00x11.00_UK_OLD_1.obj,,,2,SQ,W2XP,Black;Old
9.0,9.0,residential,,objects/houses/EU/GB/RES_9.00x9.00_UK_OLD_1.obj,,,2,SQ,W2XP,Black;Old
17.0,10.80,residential,,objects/houses/EU/GB/RES_17.00x10.80_1_UK.obj,,,1,SQ,W2XP,Black
17.0,7.00,residential,,objects/houses/EU/GB/RES_17.00x7.00_1_UK.obj,,,1,SQ,W2XP,Black
19.00,12.00,residential,,objects/houses/EU/GB/RES_19.00x12.00_1_UK.obj,,,1,SQ,W2XP,Black
16.80,14.50,residential,,objects/houses/EU/GB/RES_16.80x14.50_UK_1.obj,,,2,SQ,W2XP,Black
13.60,9.00,residential,,objects/houses/EU/GB/RES_13.60x9.00_UK_1.obj,,,2,SQ,W2XP,Black
17.00,15.00,residential,,objects/houses/EU/GB/RES_17.00x15.00_UK_1.obj,,,2,SQ,W2XP,Black
17.00,17.00,residential,,objects/houses/EU/GB/RES_17.00x17.00_UK_1.obj,,,2,SQ,W2XP,Black
16.00,16.00,residential,,objects/houses/EU/GB/RES_16.00x16.00_UK_1.obj,,,2,SQ,W2XP,Black


10.00,7.00,residential,,objects/houses/EU/GB/RES_10.00x7.00_UK_OLD_1.obj,,,2,SQ,W2XP,Black;Old
10.00,7.00,residential,,objects/houses/EU/GB/RES_10.00x7.00_UK_OLD_2.obj,,,2,SQ,W2XP,Black;Old
10.00,7.00,residential,,objects/houses/EU/GB/RES_10.00x7.00_UK_OLD_3.obj,,,2,SQ,W2XP,Black;Old


11.00,9.00,residential,,objects/houses/EU/GB/RES_11.00x9.00_UK_OLD_1.obj,,,2,SQ,W2XP,Black;Old
11.00,9.00,residential,,objects/houses/EU/GB/RES_11.00x9.00_UK_OLD_2.obj,,,2,SQ,W2XP,Black;Old
11.00,9.00,residential,,objects/houses/EU/GB/RES_11.00x9.00_UK_OLD_3.obj,,,2,SQ,W2XP,Black;Old


9.21,7.08,residential,,objects/houses/EU/GB/RES_9.21x7.08_UK_OLD_1.obj,,,2,SQ,W2XP,Black;Old
9.21,7.08,residential,,objects/houses/EU/GB/RES_9.21x7.08_UK_OLD_2.obj,,,2,SQ,W2XP,Black;Old
9.21,7.08,residential,,objects/houses/EU/GB/RES_9.21x7.08_UK_OLD_3.obj,,,2,SQ,W2XP,Black;Old

9.00,6.00,residential,,objects/houses/EU/GB/RES_9.00x6.00_UK_OLD_1.obj,,,2,SQ,W2XP,Black;Old
9.00,6.00,residential,,objects/houses/EU/GB/RES_9.00x6.00_UK_OLD_2.obj,,,2,SQ,W2XP,Black;Old
9.00,6.00,residential,,objects/houses/EU/GB/RES_9.00x6.00_UK_OLD_3.obj,,,2,SQ,W2XP,Black;Old
9.00,6.00,residential,,objects/houses/EU/GB/RES_9.00x6.00_UK_OLD_4.obj,,,2,SQ,W2XP,Black;Old

4.5,5.5,residential,,objects/houses/EU/GB/RES_4.5x5.5_UK_OLD_1.obj,,,2,SQ,W2XP,Black;Old
4.5,5.5,residential,,objects/houses/EU/GB/RES_4.5x5.5_UK_OLD_2.obj,,,2,SQ,W2XP,Black;Old

7.00,5.00,residential,,objects/houses/EU/GB/RES_7.0x5.0_UK_OLD_1.obj,,,2,SQ,W2XP,Black
7.00,5.00,residential,,objects/houses/EU/GB/RES_7.0x5.0_UK_OLD_2.obj,,,2,SQ,W2XP,Black
5.00,7.00,residential,,objects/houses/EU/GB/RES_5.0x7.0_UK_1.obj,,,2,SQ,W2XP,Black
5.00,7.00,residential,,objects/houses/EU/GB/RES_5.0x7.0_UK_2.obj,,,2,SQ,W2XP,Black

6.00,5.00,residential,,objects/houses/EU/GB/RES_6.0x5.0_UK_OLD_1.obj,,,2,SQ,W2XP,Black;Old
6.00,5.00,residential,,objects/houses/EU/GB/RES_6.0x5.0_UK_OLD_2.obj,,,2,SQ,W2XP,Black;Old

16.44,9.45,residential,,objects/houses/EU/GB/RES_16_44x9.45_UK_OLD_1.obj,,,2,SQ,W2XP,Black;Old
16.44,9.45,residential,,objects/houses/EU/GB/RES_16_44x9.45_UK_OLD_2.obj,,,2,SQ,W2XP,Black;Old
16.44,9.45,residential,,objects/houses/EU/GB/RES_16_44x9.45_UK_OLD_3.obj,,,2,SQ,W2XP,Black;Old

8.5,11.00,residential,,objects/houses/EU/GB/RES_8.5x11.0_UK_OLD_1.obj,,,2,SQ,W2XP,Black;Old
8.5,11.00,residential,,objects/houses/EU/GB/RES_8.5x11.0_UK_OLD_2.obj,,,2,SQ,W2XP,Black;Old

13.77,10.10,residential,,objects/houses/EU/GB/RES_13.77x10.10_UK_OLD_1.obj,,,2,SQ,W2XP,Black;Old
13.77,10.10,residential,,objects/houses/EU/GB/RES_13.77x10.10_UK_OLD_2.obj,,,2,SQ,W2XP,Black;Old
13.77,10.10,residential,,objects/houses/EU/GB/RES_13.77x10.10_UK_OLD_3.obj,,,2,SQ,W2XP,Black;Old
13.77,10.10,residential,,objects/houses/EU/IE/PUB_13.77x10.10_2_IE.obj,,,2,SQ,W2XP,Black


12.00,8.00,residential,,objects/houses/EU/GB/RES_12x8.0_UK_OLD_1.obj,,,2,SQ,W2XP,Black;Old
12.00,8.00,residential,,objects/houses/EU/GB/RES_12x8.0_UK_OLD_2.obj,,,2,SQ,W2XP,Black;Old
12.00,8.00,residential,,objects/houses/EU/GB/RES_12x8.0_UK_OLD_3.obj,,,2,SQ,W2XP,Black;Old


7.00,6.00,residential,,objects/houses/EU/GB/RES_7.0x6.0_UK_OLD_1.obj,,,2,SQ,W2XP,Black;Old
7.00,6.00,residential,,objects/houses/EU/GB/RES_7.0x6.0_UK_OLD_2.obj,,,2,SQ,W2XP,Black;Old
7.00,6.00,residential,,objects/houses/EU/GB/RES_7.0x6.0_UK_OLD_3.obj,,,2,SQ,W2XP,Black;Old


17.00,6.00,residential,,objects/houses/EU/GB/RES_17.0x6.0_UK_1.obj,,,2,SQ,W2XP,Black
18.00,6.00,residential,,objects/houses/EU/GB/RES_18.0x6.0_UK_1.obj,,,2,SQ,W2XP,Black
20.00,6.00,residential,,objects/houses/EU/GB/RES_20.0x6.0_UK_1.obj,,,2,SQ,W2XP,Black

12.00,7.00,residential,,objects/houses/EU/GB/RES_12.0x7.0_UK_1.obj,,,2,SQ,W2XP,Black
12.00,7.00,residential,,objects/houses/EU/GB/RES_12.0x7.0_UK_2.obj,,,2,SQ,W2XP,Black
12.00,7.00,residential,,objects/houses/EU/GB/RES_12.0x7.0_UK_3.obj,,,2,SQ,W2XP,Black

10.00,6.00,residential,,objects/houses/EU/GB/RES_10.0x6.0_UK_1.obj,,,2,SQ,W2XP,Black
10.00,6.00,residential,,objects/houses/EU/GB/RES_10.0x6.0_UK_2.obj,,,2,SQ,W2XP,Black
10.00,6.00,residential,,objects/houses/EU/GB/RES_10.0x6.0_UK_3.obj,,,2,SQ,W2XP,Black


12.00,6.00,residential,,objects/houses/EU/GB/RES_12.0x6.0_UK_1.obj,,,2,SQ,W2XP,Black
12.00,6.00,residential,,objects/houses/EU/GB/RES_12.0x6.0_UK_2.obj,,,2,SQ,W2XP,Black
12.00,6.00,residential,,objects/houses/EU/GB/RES_12.0x6.0_UK_3.obj,,,2,SQ,W2XP,Black

# Large Agricultural
46.00,33.00,residential,,objects/houses/EU/GB/RES_FARM_46.00x33.obj,,,2,SQ,W2XP,Black
48.40,32.50,residential,,objects/houses/EU/GB/RES_48.4x32.50.obj,,,2,SQ,W2XP,Black
47.00,34.00,residential,,objects/houses/EU/GB/RES_47.00x34.00.obj,,,2,SQ,W2XP,Black
27.50,51.00,residential,,objects/houses/EU/GB/RES_27.5x51.0.obj,,,2,SQ,W2XP,Black



6.4,6.9,residential,,objects/houses/EU/GB/edwardian/RES_6.4x6.9_1.obj,,,2,SQ,W2XP,Red
6.2,8.6,residential,,objects/houses/EU/GB/edwardian/RES_6.2x8.6_1.obj,,,2,SQ,W2XP,Red
5.0,10.0,residential,,objects/houses/EU/GB/edwardian/RES_5.0x10.0_1.obj,,,2,SQ,W2XP,Red
5.0,9.0,residential,,objects/houses/EU/GB/edwardian/RES_5.0x9.0_1.obj,,,2,SQ,W2XP,Red










